iter	Passed	Remaining
0	59	59689
1	60	30064
2	60	20201
3	61	15243
4	61	12260
5	61	10262
6	62	8833
7	62	7764
8	62	6933
9	63	6271
10	63	5729
11	64	5284
12	64	4909
13	65	4593
14	65	4308
15	66	4067
16	66	3845
17	66	3652
18	67	3474
19	67	3322
20	68	3175
21	68	3046
22	68	2926
23	69	2817
24	69	2715
25	69	2620
26	70	2539
27	70	2460
28	71	2388
29	71	2322
30	72	2261
31	72	2203
32	73	2146
33	73	2090
34	74	2041
35	74	1992
36	74	1946
37	75	1901
38	75	1861
39	75	1822
40	76	1785
41	76	1750
42	77	1716
43	77	1682
44	77	1652
45	78	1623
46	78	1593
47	78	1566
48	79	1538
49	79	1512
50	80	1489
51	80	1466
52	80	1445
53	81	1423
54	81	1407
55	82	1386
56	82	1365
57	82	1347
58	83	1328
59	83	1309
60	83	1292
61	84	1275
62	84	1259
63	85	1244
64	85	1228
65	85	1215
66	86	1201
67	86	1187
68	86	1172
69	87	1162
70	87	1148
71	88	1135
72	88	1124
73	88	1112
74	90	1111
75	90	1099
76	90	1088
77	91	1077
78	91	1067
79	91	1056
80	92	1045
81	92	1035
82	92	1023
83	93	1015
84	93	1006
85	93	998
86	94	989
87	94	980
88	95	973
89	95	966
90	96	960
91	96	953
92	97	947
93	97	939
94	97	932
95	98	926
96	98	920
97	99	913
98	99	906
99	99	899
100	100	893
101	100	887
102	101	881
103	101	875
104	101	869
105	102	863
106	102	857
107	103	851
108	103	846
109	103	840
110	104	835
111	104	831
112	105	826
113	105	821
114	106	816
115	106	811
116	106	805
117	107	801
118	107	796
119	108	792
120	108	787
121	108	782
122	109	777
123	109	773
124	109	768
125	110	765
126	110	761
127	111	757
128	111	753
129	111	748
130	112	743
131	112	739
132	112	735
133	113	731
134	113	727
135	114	724
136	114	720
137	114	717
138	115	713
139	115	710
140	116	707
141	116	702
142	116	699
143	117	696
144	117	693
145	117	689
146	118	686
147	118	683
148	119	680
149	119	677
150	120	675
151	120	672
152	120	669
153	121	666
154	121	663
155	122	660
156	122	657
157	122	654
158	123	651
159	123	649
160	123	645
161	124	642
162	124	640
163	125	637
164	125	634
165	125	631
166	126	629
167	126	627
168	127	624
169	127	622
170	127	619
171	128	616
172	128	614
173	128	611
174	129	609
175	129	607
176	130	604
177	130	602
178	130	600
179	131	597
180	131	595
181	131	593
182	132	590
183	132	588
184	133	586
185	133	583
186	133	581
187	134	579
188	134	577
189	134	574
190	135	572
191	135	570
192	135	568
193	136	566
194	136	564
195	137	562
196	137	560
197	137	558
198	138	556
199	138	554
200	139	553
201	139	551
202	139	549
203	140	547
204	140	545
205	140	543
206	141	541
207	141	540
208	142	538
209	142	536
210	142	534
211	143	532
212	143	531
213	144	529
214	144	527
215	145	526
216	145	524
217	145	522
218	146	521
219	146	519
220	147	518
221	147	516
222	147	515
223	148	513
224	148	511
225	148	510
226	149	508
227	149	506
228	150	505
229	150	504
230	151	502
231	151	501
232	151	499
233	152	498
234	152	496
235	152	494
236	153	493
237	154	493
238	154	492
239	154	490
240	155	489
241	155	488
242	156	486
243	156	485
244	156	483
245	157	482
246	157	481
247	158	480
248	158	478
249	159	477
250	159	475
251	159	474
252	160	473
253	160	471
254	161	470
